filename,width,height,class,xmin,ymin,xmax,ymax
100218.jpg,900,600,akyanakli arapbulbulu,153,71,485,521
100363.jpg,999,672,akyanakli arapbulbulu,284,102,861,538
100625.jpg,1920,1080,akyanakli arapbulbulu,349,96,899,1013
100690.jpg,800,538,akyanakli arapbulbulu,13,144,428,467
100828.jpg,1920,1080,akyanakli arapbulbulu,811,309,1491,1056
105078.jpg,1049,721,akyanakli arapbulbulu,553,129,855,685
111999.jpg,950,633,akyanakli arapbulbulu,406,245,837,607
112398.jpg,950,633,akyanakli arapbulbulu,452,155,909,554
114155.jpg,1000,667,akyanakli arapbulbulu,427,106,854,447
132074.jpg,1100,619,akyanakli arapbulbulu,202,51,591,564
134841.jpg,1200,800,akyanakli arapbulbulu,493,40,764,771
135378.jpg,1200,800,akyanakli arapbulbulu,291,158,523,418
136424.jpg,1000,632,akyanakli arapbulbulu,259,89,943,533
136685.jpg,1920,1080,akyanakli arapbulbulu,360,252,1042,873
136895.jpg,1200,800,akyanakli arapbulbulu,51,214,722,611
137150.jpg,859,617,akyanakli arapbulbulu,28,157,414,574
137358.jpg,1200,857,akyanakli arapbulbulu,32,122,758,773
159904.jpg,1200,759,akyanakli arapbulbulu,546,228,1082,755
163637.jpg,1200,801,akyanakli arapbulbulu,291,319,573,688
163861.jpg,900,600,akyanakli arapbulbulu,453,78,844,531
163935.jpg,1150,647,akyanakli arapbulbulu,247,74,528,473
164551.jpg,1920,1080,akyanakli arapbulbulu,470,119,1438,1091
172011.jpg,1199,655,akyanakli arapbulbulu,643,244,882,490
243870.jpg,1920,1080,akyanakli arapbulbulu,936,309,1221,736
264972.jpg,1920,1080,akyanakli arapbulbulu,813,95,1398,1093
272444.jpg,1920,1080,akyanakli arapbulbulu,890,233,1275,867
327187.jpg,1500,992,akyanakli arapbulbulu,608,136,1056,980
331940.jpg,1200,675,akyanakli arapbulbulu,531,129,897,511
354071.jpg,1200,800,akyanakli arapbulbulu,334,227,1153,566
360252.jpg,1900,1288,akyanakli arapbulbulu,475,97,1043,1185
360921.jpg,1920,1080,akyanakli arapbulbulu,493,99,912,1002
