filename,width,height,class,xmin,ymin,xmax,ymax
101863.jpg,1049,699,bataklik suyelvesi,262,122,960,573
107510.jpg,1000,646,bataklik suyelvesi,262,122,960,573
110295.jpg,800,600,bataklik suyelvesi,394,170,761,406
111044.jpg,1920,1080,bataklik suyelvesi,173,84,1240,1025
113186.jpg,1920,1080,bataklik suyelvesi,91,381,1137,708
121725.jpg,900,600,bataklik suyelvesi,32,185,735,484
125214.jpg,1050,630,bataklik suyelvesi,-1,144,707,457
182193.jpg,1200,701,bataklik suyelvesi,37,94,873,520
182648.jpg,800,600,bataklik suyelvesi,246,189,639,408
182760.jpg,1200,800,bataklik suyelvesi,76,224,883,584
186067.jpg,1920,1080,bataklik suyelvesi,502,68,1765,528
191139.jpg,1200,746,bataklik suyelvesi,369,96,1147,617
195154.jpg,1920,1080,bataklik suyelvesi,100,124,1523,947
196485.jpg,1000,650,bataklik suyelvesi,436,188,809,423
208293.jpg,1200,848,bataklik suyelvesi,43,44,971,784
235688.jpg,1500,844,bataklik suyelvesi,312,72,1213,644
236539.jpg,1920,1080,bataklik suyelvesi,129,121,1437,802
237645.jpg,1920,1080,bataklik suyelvesi,785,417,1416,822
237730.jpg,1200,675,bataklik suyelvesi,497,325,663,473
237938.jpg,960,618,bataklik suyelvesi,378,217,892,496
238426.jpg,1500,1000,bataklik suyelvesi,229,232,830,727
239442.jpg,1500,834,bataklik suyelvesi,292,400,951,709
241461.jpg,1500,965,bataklik suyelvesi,727,283,1077,514
249310.jpg,1400,933,bataklik suyelvesi,127,172,1011,746
249678.jpg,1500,975,bataklik suyelvesi,28,155,1167,826
250344.jpg,1920,1080,bataklik suyelvesi,64,405,1181,872
251797.jpg,1200,675,bataklik suyelvesi,485,99,1072,597
254141.jpg,1500,844,bataklik suyelvesi,728,16,1500,730
254716.jpg,1500,844,bataklik suyelvesi,116,174,894,703
258076.jpg,1350,900,bataklik suyelvesi,166,204,817,469
266962.jpg,1500,1000,bataklik suyelvesi,179,109,1284,715
267936.jpg,1920,1080,bataklik suyelvesi,418,594,880,826
292896.jpg,1920,1080,bataklik suyelvesi,80,270,1444,1030
320108.jpg,1024,576,bataklik suyelvesi,183,149,488,413
327454.jpg,3840,2160,bataklik suyelvesi,422,266,2108,1253
350020.jpg,1920,1080,bataklik suyelvesi,330,193,1266,705
353496.jpg,1000,563,bataklik suyelvesi,536,198,807,367
353566.jpg,3840,2160,bataklik suyelvesi,2099,537,2949,1036
370845.jpg,1920,1080,bataklik suyelvesi,2099,537,2949,1036
382440.jpg,1800,1231,bataklik suyelvesi,593,309,1166,786
63367.jpg,800,600,bataklik suyelvesi,26,43,504,366
64870.jpg,800,537,bataklik suyelvesi,158,254,415,373
65801.jpg,900,674,bataklik suyelvesi,81,101,515,577
68638.jpg,900,599,bataklik suyelvesi,134,249,887,532
70947.jpg,1000,632,bataklik suyelvesi,210,177,974,529
72686.jpg,992,620,bataklik suyelvesi,76,161,466,383
73266.jpg,999,693,bataklik suyelvesi,59,91,692,598
81890.jpg,850,621,bataklik suyelvesi,108,110,569,385
89642.jpg,1000,563,bataklik suyelvesi,303,121,1020,349
98032.jpg,1050,591,bataklik suyelvesi,465,79,905,400
99703.jpg,900,600,bataklik suyelvesi,301,207,564,510
B@XATZvxZw6vECG8TqamvThUJ0gk5eawdXWXMhjBD.jpg,527,716,bataklik suyelvesi,166,43,500,679
bDs4mveXat1kvhI2AUfuLwzhJIbN3Ec57uYiQ36Rm.jpg,900,600,bataklik suyelvesi,62,190,671,528
FYC8h8xS63A4PobTyiijpeaYKyFH2J0wxstEpRmkJ.jpg,524,800,bataklik suyelvesi,140,120,479,682
h7zgJeujcEgMzrfs2WqaV@Mab8fvzQAHMZNl48u6B.jpg,899,597,bataklik suyelvesi,260,189,632,421
qqLp5Da5VxDSPYTfEi2Iq5UQAsdwrIfIZRYUjZO5l.jpg,900,622,bataklik suyelvesi,293,38,786,564
QUDkQ3d9f9KsjFzpMLvBnlscb1pF1s8GcBRSuURAS.jpg,804,552,bataklik suyelvesi,56,64,598,401
SbQimKWHdEcACvsqhIChmi1XBkOfWEoEG5MSExpI2.jpg,600,391,bataklik suyelvesi,-5,32,536,400
v49631wdP54b95xFNySrUZ4od0uR@YYuRWqKNNNsI.jpg,800,667,bataklik suyelvesi,176,60,769,609
YJvs4u9hgrHBlfI13GZQzIaTg9famWpavLto5rvaI.jpg,714,800,bataklik suyelvesi,81,69,647,568
zHsND0LHMNsoGW6dLSzYDuHNuLgkaFdAbwcElObYr.jpg,777,768,bataklik suyelvesi,164,263,612,614
