filename,width,height,class,xmin,ymin,xmax,ymax
338165.jpg,1500,877,akkasli kirazkusu,394,295,908,661
338356.jpg,1500,880,akkasli kirazkusu,273,229,977,768
338373.jpg,3840,2160,akkasli kirazkusu,285,616,1934,1842
338385.jpg,1920,1080,akkasli kirazkusu,289,65,960,688
338395.jpg,1920,1080,akkasli kirazkusu,468,377,757,652
338415.jpg,3840,2160,akkasli kirazkusu,392,630,1707,1600
338724.jpg,1920,1080,akkasli kirazkusu,251,256,1067,979
339141.jpg,1900,1069,akkasli kirazkusu,232,169,867,1045
339226.jpg,960,540,akkasli kirazkusu,25,147,493,495
339228.jpg,1920,1080,akkasli kirazkusu,689,140,1762,955
339252.jpg,1920,1080,akkasli kirazkusu,412,210,871,1026
339883.jpg,999,666,akkasli kirazkusu,406,139,791,542
340074.jpg,3840,2160,akkasli kirazkusu,1009,605,1756,1842
341184.jpg,1920,1080,akkasli kirazkusu,771,379,1062,889
344391.jpg,3840,2160,akkasli kirazkusu,1889,750,2875,1505
4217.jpg,700,515,akkasli kirazkusu,317,158,633,422
