filename,width,height,class,xmin,ymin,xmax,ymax
0ZN32GF4Qec640HrO4lahsmUfTPWUz3JoGBfb7@Ra.jpg,525,800,aksirtli agackakan,95,193,342,620
161678.jpg,1200,796,aksirtli agackakan,97,101,710,782
174940.jpg,1200,725,aksirtli agackakan,47,172,750,680
17828.jpg,899,641,aksirtli agackakan,157,120,323,610
185397.jpg,1200,700,aksirtli agackakan,372,168,600,648
186054.jpg,1200,779,aksirtli agackakan,162,150,692,738
199012.jpg,1920,1080,aksirtli agackakan,913,335,1281,864
199869.jpg,1200,811,aksirtli agackakan,394,58,869,785
202900.jpg,1200,750,aksirtli agackakan,453,34,880,734
214284.jpg,1500,1000,aksirtli agackakan,745,261,1069,874
223530.jpg,1920,1080,aksirtli agackakan,583,290,968,956
223626.jpg,800,600,aksirtli agackakan,207,170,369,532
224826.jpg,1338,1000,aksirtli agackakan,954,251,1128,714
240833.jpg,1920,1080,aksirtli agackakan,353,261,783,952
247107.jpg,750,949,aksirtli agackakan,158,381,392,827
247299.jpg,850,591,aksirtli agackakan,158,95,597,595
253819.jpg,1350,759,aksirtli agackakan,811,208,929,571
261575.jpg,1490,995,aksirtli agackakan,569,430,853,817
296873.jpg,1050,788,aksirtli agackakan,454,282,730,740
30332.jpg,534,800,aksirtli agackakan,213,187,435,747
315533.jpg,1050,788,aksirtli agackakan,454,274,724,643
332037.jpg,1322,999,aksirtli agackakan,629,471,952,780
332164.jpg,1500,958,aksirtli agackakan,717,341,1043,899
342249.jpg,1500,1000,aksirtli agackakan,699,380,988,725
350295.jpg,1920,1080,aksirtli agackakan,941,394,1378,966
351897.jpg,1920,1080,aksirtli agackakan,866,330,1398,899
354381.jpg,1920,1080,aksirtli agackakan,647,145,1186,1063
35890.jpg,900,731,aksirtli agackakan,533,135,743,707
364625.jpg,1300,974,aksirtli agackakan,360,118,701,963
367803.jpg,1280,720,aksirtli agackakan,332,146,506,649
m5ugLX8xnnYCA01tzmx1AiNhZLdLa5bn0vtAiqYwE.jpg,800,534,aksirtli agackakan,507,150,615,444
QOBSw6jaEjTzcFaxRJOwu2MYFlzkzsbf6DXry6s3e.jpg,700,469,aksirtli agackakan,231,177,343,312
